,Community Area Number,COMMUNITY AREA NAME,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
59,60,Bridgeport,18.9,22.2,0.28,3.82,7.77,3.88,0.03,0.28,7.95,1.18,2.58,0.06,0.09,0.03,0.03,0.09,0.0,0.03,3.01,1.68,0.0,0.34,0.0,3.23,0.03,0.0,0.22,1.27,0.12,0.03,11.59,0.25
60,61,New City,29.0,41.5,0.24,8.8,24.92,6.06,0.0,0.4,12.28,1.8,4.17,0.14,0.4,0.0,0.76,0.17,0.09,0.21,3.79,13.92,0.0,0.85,0.0,9.16,0.78,0.02,1.07,4.31,0.38,0.07,20.31,2.53
61,62,West Elsdon,15.6,37.0,0.33,3.07,7.29,4.33,0.0,0.27,8.39,1.32,3.95,0.05,0.16,0.0,0.16,0.0,0.22,0.05,3.29,2.74,0.0,0.38,0.0,3.34,0.05,0.0,0.99,2.69,0.38,0.0,12.72,0.49
62,63,Gage Park,23.4,51.5,0.16,4.16,11.79,4.06,0.03,0.29,7.81,0.94,2.45,0.0,0.21,0.0,0.13,0.03,0.08,0.0,3.15,5.18,0.0,0.94,0.0,3.98,0.21,0.0,0.81,3.1,0.39,0.05,10.67,0.78
63,64,Clearing,8.9,18.8,0.08,2.22,6.33,3.27,0.0,0.38,6.29,0.46,3.23,0.04,0.0,0.0,0.08,0.08,0.13,0.0,1.8,1.59,0.04,0.92,0.0,2.85,0.0,0.0,0.34,1.13,0.25,0.08,7.17,0.25
64,65,West Lawn,14.9,33.6,0.15,2.97,8.47,4.38,0.0,0.21,8.54,0.73,3.55,0.0,0.0,0.0,0.03,0.0,0.03,0.09,3.58,2.11,0.03,0.89,0.0,3.92,0.0,0.0,0.43,1.99,0.21,0.03,20.04,0.18
65,66,Chicago Lawn,27.9,31.2,0.2,7.43,23.01,7.5,0.0,0.66,12.44,2.3,5.16,0.24,0.18,0.0,1.04,0.02,0.05,0.04,5.24,11.22,0.02,1.2,0.0,10.64,0.29,0.0,1.46,4.45,0.35,0.05,15.98,1.84
66,67,West Englewood,34.4,26.3,0.45,13.57,44.39,9.51,0.11,0.98,20.35,3.34,7.0,0.79,0.48,0.03,2.09,0.08,0.19,0.08,6.07,30.79,0.03,1.85,0.0,16.67,1.7,0.0,1.88,6.92,0.77,0.05,23.8,4.98
67,68,Englewood,46.6,28.5,0.34,18.64,54.39,11.87,0.03,1.04,23.84,5.03,7.85,1.41,0.7,0.0,1.98,0.03,0.17,0.13,8.35,29.64,0.0,1.84,0.0,21.39,3.76,0.07,2.68,9.69,0.74,0.13,30.65,5.77
68,69,Greater Grand Crossing,29.6,16.5,0.35,16.15,47.46,11.38,0.0,1.21,23.11,4.83,8.55,0.27,0.53,0.0,1.21,0.09,0.18,0.09,7.05,12.91,0.06,1.47,0.0,15.09,0.12,0.0,2.12,8.84,0.71,0.09,31.13,3.8
69,70,Ashburn,10.4,17.7,0.14,3.77,8.97,3.47,0.0,0.3,7.48,1.26,3.54,0.02,0.14,0.0,0.14,0.0,0.05,0.05,2.7,2.79,0.07,0.58,0.0,4.61,0.0,0.0,0.35,1.89,0.12,0.07,10.71,0.42
70,71,Auburn Gresham,27.6,18.5,0.42,12.14,32.01,10.49,0.0,0.76,16.9,4.07,6.99,0.17,0.23,0.0,0.97,0.06,0.13,0.08,5.71,12.98,0.02,1.12,0.0,10.72,0.51,0.0,1.41,7.04,0.3,0.1,20.44,3.1
71,72,Beverly,5.1,3.7,0.05,2.86,4.79,2.91,0.0,0.09,6.8,1.78,4.88,0.0,0.0,0.0,0.05,0.0,0.09,0.09,1.13,0.66,0.0,0.61,0.0,3.1,0.0,0.0,0.14,0.94,0.05,0.0,15.11,0.09
72,73,Washington Height,16.9,13.7,0.08,9.58,22.66,6.65,0.0,0.86,14.88,2.97,8.72,0.3,0.34,0.0,0.53,0.04,0.26,0.0,5.07,9.17,0.04,1.01,0.0,9.96,0.04,0.0,0.86,3.98,0.41,0.08,18.45,1.43
73,74,Mount Greenwood,3.4,4.3,0.05,3.38,4.74,1.04,0.0,0.27,3.38,1.04,4.41,0.0,0.0,0.0,0.27,0.11,0.22,0.11,0.6,0.71,0.0,0.82,0.0,3.27,0.0,0.0,0.05,0.33,0.05,0.0,8.55,0.11
74,75,Morgan Park,13.2,10.8,0.05,7.88,15.89,4.56,0.0,0.28,10.87,1.89,8.02,0.05,0.28,0.0,0.46,0.14,0.05,0.0,3.27,6.36,0.05,0.78,0.0,7.6,0.0,0.0,0.55,2.72,0.05,0.05,22.57,1.01
75,76,O'Hare,15.4,10.9,0.0,5.95,13.07,1.41,0.16,0.31,8.77,13.86,12.13,0.0,0.08,0.0,0.0,0.0,0.0,0.0,3.6,10.49,0.0,0.47,0.0,18.24,0.0,0.0,3.84,1.33,0.39,0.08,40.24,0.47
76,77,Edgewater,18.2,9.7,0.02,2.67,6.75,1.97,0.0,0.32,3.93,1.48,3.43,0.02,0.04,0.0,0.04,0.02,0.0,0.05,1.71,1.05,0.0,0.18,0.0,2.78,0.0,0.0,0.32,0.97,0.16,0.04,12.35,0.29
77,0,CHICAGO,19.7,19.5,0.17,6.31,18.1,4.88,0.01,0.5,10.62,2.37,5.66,0.11,0.18,0.0,0.48,0.04,0.07,0.11,3.73,8.82,0.02,0.81,0.0,6.49,0.49,0.01,0.9,3.57,0.35,0.06,21.21,1.24
